"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
8.61622425474618e-68,-1.28767536085193,0.791,0.829,2.8207794965188e-63,"0","S100A4"
1.74762289655916e-67,-3.91210460319461,0.031,0.285,5.72136783875536e-63,"0","NCF2"
1.67003728954544e-66,-2.72190707009844,0.088,0.369,5.46736807851385e-62,"0","LGALS3"
3.53349125479707e-66,-4.45566243806664,0.148,0.423,1.15679436699546e-61,"0","NKG7"
1.05793231209203e-65,-4.44782287845789,0.044,0.294,3.4634588033269e-61,"0","FCGR3A"
1.17563809321874e-65,-4.7523520991026,0.024,0.264,3.84880398957952e-61,"0","MS4A6A"
1.25037614121834e-65,1.16982816917443,0.675,0.342,4.0934814111206e-61,"0","AES"
1.4883035356009e-64,-2.39582556609056,0.141,0.419,4.87240811485021e-60,"0","AP1S2"
1.5478366493893e-64,-1.50049964728958,0.775,0.786,5.06730762277069e-60,"0","S100A6"
3.4550048209596e-64,-4.60441826872025,0.016,0.247,1.13109947828576e-59,"0","CDA"
8.39518365193034e-64,-1.6310232338232,0.284,0.556,2.74841522396895e-59,"0","RAC1"
3.29718886148757e-62,-4.8128407174687,0.018,0.243,1.0794336894738e-57,"0","CD14"
2.00944904566779e-61,-2.52544177676118,0.284,0.528,6.57853428570722e-57,"0","GPX1"
2.34883346445604e-60,1.3033656797158,0.539,0.218,7.68961099593618e-56,"0","LCK"
1.35461683167899e-59,-3.90180235890827,0.024,0.247,4.43474458355066e-55,"0","HCK"
4.9813081743883e-59,-1.52658747844124,0.322,0.578,1.63078067013124e-54,"0","PRELID1"
1.18323247818971e-58,-2.0019146728017,0.205,0.464,3.87366648709746e-54,"0","TKT"
2.56836013774025e-58,-3.39405057667181,0.103,0.352,8.40829741893405e-54,"0","CD79B"
3.35418867011636e-58,-4.36935570735362,0.016,0.229,1.09809428682269e-53,"0","SLC7A7"
8.8691305311387e-58,-1.83277074253041,0.421,0.609,2.90357595328419e-53,"0","S100A11"
9.52886816366509e-58,-2.8216259800617,0.066,0.311,3.11956085942068e-53,"0","BRI3"
1.92694266080603e-57,-1.57683743308887,0.291,0.547,6.30842488294678e-53,"0","ANXA2"
6.17576624080169e-57,-5.32961082349833,0.007,0.206,2.02182235191366e-52,"0","LILRA5"
2.06058451163328e-56,-3.04217492089822,0.047,0.278,6.74594157418505e-52,"0","CTSH"
5.58279332257648e-56,1.49613841520791,0.367,0.102,1.82769487794509e-51,"0","CD3G"
2.22050197550347e-55,-5.0612265564905,0.012,0.211,7.26947936740324e-51,"0","HLA-DQA2"
7.48303725996657e-55,-2.99951896571226,0.05,0.278,2.44979673816786e-50,"0","RNF130"
9.28772465267546e-55,-1.03932204676108,0.675,0.795,3.04061529679289e-50,"0","ARPC1B"
1.28528531885705e-54,1.91506292280506,0.37,0.122,4.20776707687419e-50,"0","TCF7"
2.00672740715585e-54,-2.24992527096778,0.133,0.388,6.56962418554681e-50,"0","RGS2"
3.32855200194827e-54,-1.86395003288101,0.577,0.664,1.08970135439783e-49,"0","COTL1"
1.33009422208892e-53,-2.95149558522369,0.045,0.267,4.3544624642747e-49,"0","PLEK"
3.05783989219513e-53,1.68891466189789,0.37,0.12,1.00107562390684e-48,"0","RGCC"
2.363535949362e-52,1.84202380449813,0.296,0.074,7.7377439910213e-48,"0","FLT3LG"
5.65683618217848e-51,-4.07756402203512,0.018,0.211,1.85193502932159e-46,"0","MNDA"
6.77874204957802e-51,2.93194176400081,0.203,0.025,2.21922457219085e-46,"0","CD40LG"
7.43737665179063e-51,-2.47997653235099,0.066,0.294,2.43484836826322e-46,"0","EFHD2"
1.32853499821043e-50,-1.92672057220226,0.217,0.457,4.3493578771413e-46,"0","AP2S1"
3.24372597989531e-50,-4.40129186365627,0.012,0.196,1.06193101129813e-45,"0","PILRA"
5.66619001718182e-50,-3.55358853812668,0.023,0.218,1.85499728782499e-45,"0","STX11"
8.02899569483777e-50,-3.11782674202238,0.038,0.245,2.62853261057599e-45,"0","LYN"
9.55204969460909e-50,-2.30116467057958,0.098,0.335,3.12715002902112e-45,"0","FCGRT"
4.80540787167132e-49,-4.98371001806048,0.008,0.185,1.57319442902776e-44,"0","IGSF6"
9.41270821872427e-49,1.30676935772954,0.424,0.17,3.08153241664595e-44,"0","GIMAP5"
1.13084494517288e-48,-5.26239183289247,0.006,0.179,3.70216018150696e-44,"0","C19orf38"
1.65219830908546e-48,-3.07704691620056,0.045,0.251,5.40896682428399e-44,"0","TNFSF13B"
1.67177585642445e-48,-1.8243586851786,0.201,0.444,5.47305979876235e-44,"0","ATP6V0B"
2.12171594996178e-48,1.35245509237964,0.432,0.175,6.94607367698488e-44,"0","PRDX2"
2.37518126344036e-48,-4.29688981617888,0.013,0.194,7.77586842025105e-44,"0","CPVL"
5.36233598674329e-48,-4.53791859891304,0.047,0.245,1.75552155534002e-43,"0","CD79A"
9.16267175134971e-48,1.70494608265538,0.179,0.018,2.99967547795687e-43,"0","NGFRAP1"
1.99168139740092e-47,-4.3405066057747,0.021,0.204,6.52036655881114e-43,"0","APOBEC3A"
2.84215858093921e-47,-4.35689059097145,0.014,0.192,9.30465876227879e-43,"0","RP11-290F20.3"
7.76875310434756e-47,-3.12541795820457,0.035,0.231,2.5433343913013e-42,"0","NUP214"
2.20982390268336e-46,-3.91504476500975,0.048,0.242,7.23452149260479e-42,"0","MS4A1"
3.14970986999582e-46,-2.24915209317556,0.115,0.341,1.03115201723923e-41,"0","STXBP2"
4.19280003669187e-46,-2.61356423461475,0.05,0.255,1.37263887601218e-41,"0","APLP2"
1.52653113695911e-45,-4.04427117479844,0.015,0.188,4.99755763617673e-41,"0","CTSZ"
3.9668485872476e-45,-3.31924320906859,0.084,0.288,1.29866689049312e-40,"0","CST7"
6.09382684779583e-45,2.82982904224891,0.226,0.046,1.9949970334314e-40,"0","LDLRAP1"
6.93190888062243e-45,-4.29149282965659,0.014,0.185,2.26936832933817e-40,"0","ALDH2"
