herb,compound_id,target_gene
Danshen,DS17,OPRD1
Danshen,DS17,ACHE
Danshen,DS17,ADRA1A
Danshen,DS17,ADRB2
Danshen,DS17,OPRM1
Danshen,DS17,CTSC
Danshen,DS17,HSP90AA2P
Danshen,DS17,CHRNA7
Danshen,DS17,IGHG1
Danshen,DS17,PRSS1
Danshen,DS17,NCOA7
Danshen,DS18,ACHE
Danshen,DS18,HTR2A
Danshen,DS18,ADRA1A
Danshen,DS18,CHRM2
Danshen,DS18,ADRB2
Danshen,DS18,SLC6A4
Danshen,DS18,OPRM1
Danshen,DS18,GABRA1
Danshen,DS18,CTSC
Danshen,DS18,HSP90AA2P
Danshen,DS18,CHRNA7
Danshen,DS18,IGHG1
Danshen,DS18,PRSS1
Danshen,DS18,NCOA7
Danshen,DS19,NR3C2
Danshen,DS19,NR3C1
Danshen,DS20,PTGS2
Danshen,DS20,PGR
Danshen,DS20,NR3C2
Danshen,DS20,NR3C1
Danshen,DS20,PNRC2
Danshen,DS20,NCOA7
Danshen,DS21,F2
Danshen,DS21,PTGS2
Danshen,DS21,RXRA
Danshen,DS21,CTSC
Danshen,DS21,HSP90AA2P
Danshen,DS21,PIK3CG
Danshen,DS21,IGHG1
Danshen,DS21,PRSS1
Danshen,DS21,NCOA7
Danshen,DS22,PTGS1
Danshen,DS22,DRD1
Danshen,DS22,CHRM3
Danshen,DS22,F2
Danshen,DS22,CHRM1
Danshen,DS22,SCNN1A
Danshen,DS22,CHRM5
Danshen,DS22,PTGS2
Danshen,DS22,CA6
Danshen,DS22,CHRM4
Danshen,DS22,OPRD1
Danshen,DS22,ACHE
Danshen,DS22,ADRA1A
Danshen,DS22,CHRM2
Danshen,DS22,ADRB2
Danshen,DS22,OPRM1
Danshen,DS22,GABRA1
Danshen,DS22,CTSC
Danshen,DS22,HSP90AA2P
Danshen,DS22,PIK3CG
Danshen,DS22,CHRNA7
Danshen,DS22,NCOA7
Danshen,DS23,F2
Danshen,DS23,PTGS2
Danshen,DS23,CA6
Danshen,DS23,ACHE
Danshen,DS23,CTSC
Danshen,DS23,HSP90AA2P
Danshen,DS23,PRSS1
Danshen,DS23,NCOA7
Danshen,DS24,F2
Danshen,DS24,PTGS2
Danshen,DS24,CTSC
Danshen,DS24,PRSS1
Danshen,DS24,NCOA7
Danshen,DS25,PTGS2
Danshen,DS26,DRD1
Danshen,DS26,F2
Danshen,DS26,CHRM1
Danshen,DS26,PTGS2
Danshen,DS26,OPRD1
Danshen,DS26,ACHE
Danshen,DS26,HTR2A
Danshen,DS26,ADRB2
Danshen,DS26,OPRM1
Danshen,DS26,CTSC
Danshen,DS26,CHRNA7
Danshen,DS26,PRSS1
Danshen,DS26,NCOA7
Danshen,DS27,PTGS2
Danshen,DS27,CA6
Danshen,DS27,PGR
Danshen,DS27,TOP2A
Danshen,DS27,OPRM1
Danshen,DS27,NR3C1
Danshen,DS27,HSP90AA2P
Danshen,DS27,NCOA7
Danshen,DS28,PTGS1
Danshen,DS28,KCNC2
Danshen,DS28,SCNN1A
Danshen,DS28,F10
Danshen,DS28,PTGS2
Danshen,DS28,RXRA
Danshen,DS28,PIK3CG
Danshen,DS28,NCOA7
Danshen,DS28,KCNU1
Danshen,DS29,PTGS1
Danshen,DS29,NCOA7
Danshen,DS29,AR
Danshen,DS29,CHRM5
Danshen,DS29,PTGS2
Danshen,DS29,HTR2C
Danshen,DS29,ESR2
Danshen,DS29,PIM1
Danshen,DS30,PTGS1
Danshen,DS30,DRD1
Danshen,DS30,CHRM3
Danshen,DS30,CHRM1
Danshen,DS30,SCNN1A
Danshen,DS30,CHRM5
Danshen,DS30,PTGS2
Danshen,DS30,CA6
Danshen,DS30,CHRM4
Danshen,DS30,OPRD1
Danshen,DS30,ADRA1A
Danshen,DS30,PGR
Danshen,DS30,CHRM2
Danshen,DS30,ADRA1B
Danshen,DS30,ADRB2
Danshen,DS30,TNF
Danshen,DS30,ADRA1D
Danshen,DS30,TOP2A
Danshen,DS30,OPRM1
Danshen,DS30,GABRA1
Danshen,DS30,CHRNA7
Danshen,DS30,APP
Danshen,DS30,PNRC2
Danshen,DS30,NCOA7
Danshen,DS30,NAIP
Danshen,DS30,BAK1
Danshen,DS30,EDN1
Danshen,DS30,CCND3
Danshen,DS30,STAT5B
Danshen,DS30,RELA
Danshen,DS31,CDK1
Danshen,DS31,CHEK1
Danshen,DS31,IGHG1
Danshen,DS31,PRSS1
Danshen,DS31,PIM1
Danshen,DS31,CCNA2
Danshen,DS31,PNRC2
Danshen,DS31,NCOA7
Danshen,DS31,CALML5
Danshen,DS32,OPRM1
Danshen,DS32,GABRA1
Danshen,DS32,CTSC
Danshen,DS32,HSP90AA2P
Danshen,DS32,CHRNA7
Danshen,DS33,OPRM1
Danshen,DS33,GSK3B
Danshen,DS33,CDK1
Danshen,DS33,CHRNA7
Danshen,DS33,IGHG1
Danshen,DS33,PIM1
Danshen,DS33,PNRC2
Danshen,DS33,NCOA7
Danshen,DS34,PTPN22
Danshen,DS34,SLC6A3
Danshen,DS34,ADRB2
Danshen,DS34,ADRA1D
Danshen,DS34,SLC6A4
Danshen,DS34,OPRM1
Danshen,DS34,GABRA1
Danshen,DS34,CTSC
Danshen,DS34,GSK3B
Danshen,DS34,PIK3CG
Danshen,DS34,CHRNA7
Danshen,DS34,PRKACA
Danshen,DS34,IGHG1
Danshen,DS34,PRSS1
Danshen,DS34,PIM1
Danshen,DS34,CCNA2
Danshen,DS35,PIK3CG
Danshen,DS35,CHRNA7
Danshen,DS35,PRKACA
Danshen,DS35,IGHG1
Danshen,DS35,PNRC2
Danshen,DS35,NCOA7
Danshen,DS35,CALML5
Danshen,DS36,RXRA
Danshen,DS36,OPRD1
Danshen,DS36,PDE3A
Danshen,DS36,HTR2A
Danshen,DS36,ADRA1A
Danshen,DS36,CHRM2
Danshen,DS36,ADRA1B
Danshen,DS36,ADRB2
Danshen,DS36,ADRA1D
Danshen,DS36,SLC6A4
Danshen,DS36,OPRM1
Danshen,DS36,GABRA1
Danshen,DS36,HSP90AA2P
Danshen,DS36,CDK1
Danshen,DS36,CHRNA7
Danshen,DS36,PIM1
Danshen,DS37,ADRA1D
Danshen,DS37,OPRM1
Danshen,DS38,PTGS2
Danshen,DS38,CA6
Danshen,DS38,CHRM4
Danshen,DS38,RXRA
Danshen,DS38,OPRD1
Danshen,DS38,ACHE
Danshen,DS38,ADRA1A
Danshen,DS38,CHRM2
Danshen,DS38,ADRA1B
Danshen,DS38,ADRB2
Danshen,DS38,ADRA1D
Danshen,DS38,TOP2A
Danshen,DS38,DRD4
Danshen,DS38,OPRM1
Danshen,DS38,GABRA1
Danshen,DS38,CDK1
Danshen,DS38,CHRNA7
Danshen,DS38,PRSS1
Danshen,DS38,PIM1
Danshen,DS38,PNRC2
Danshen,DS38,NCOA7
Danshen,DS39,GSK3B
Danshen,DS39,CDK1
Danshen,DS39,CHRNA7
Danshen,DS39,CHEK1
Danshen,DS39,PIM1
Danshen,DS39,CCNA2
Danshen,DS40,PNRC2
Danshen,DS41,PTGS1
Danshen,DS41,CHRM3
Danshen,DS41,CHRM1
Danshen,DS41,NCOA7
Danshen,DS41,AR
Danshen,DS41,SCNN1A
Danshen,DS41,F10
Danshen,DS41,PTGS2
Danshen,DS41,CA6
Danshen,DS41,RXRA
Danshen,DS41,OPRD1
Danshen,DS41,HTR2A
Danshen,DS41,ADRA1A
Danshen,DS41,CHRM2
Danshen,DS41,ADRA1B
Danshen,DS41,ADRB2
Danshen,DS41,TOP2A
Danshen,DS41,OPRM1
Danshen,DS41,NR3C1
Danshen,DS41,GSK3B
Danshen,DS41,CDK1
Danshen,DS41,LACTB
Danshen,DS41,CHRNA7
Danshen,DS41,IGHG1
Danshen,DS41,PIM1
Danshen,DS41,CCNA2
Danshen,DS41,PNRC2
Danshen,DS42,F2
Danshen,DS42,PTGS2
Danshen,DS42,CA6
Danshen,DS42,ACHE
Danshen,DS42,PGR
Danshen,DS42,NR3C1
Danshen,DS42,PNRC2
Danshen,DS42,NCOA7
Danshen,DS43,NCOA7
Danshen,DS43,ACHE
Danshen,DS44,PTGS1
Danshen,DS44,DRD1
Danshen,DS44,CHRM3
Danshen,DS44,CHRM1
Danshen,DS44,NCOA7
Danshen,DS44,AR
Danshen,DS44,DRD5
Danshen,DS44,SCNN1A
Danshen,DS44,CHRM5
Danshen,DS44,PTGS2
Danshen,DS44,NOS3
Danshen,DS44,CA6
Danshen,DS44,ADRA2C
Danshen,DS44,CHRM4
Danshen,DS44,RXRA
Danshen,DS44,OPRD1
Danshen,DS44,ADRA1A
Danshen,DS44,CHRM2
Danshen,DS44,ADRA1B
Danshen,DS44,SLC6A3
Danshen,DS44,ADRB2
Danshen,DS44,ADRA1D
Danshen,DS44,TOP2A
Danshen,DS44,OPRM1
Danshen,DS44,CHRNA7
Danshen,DS44,PNRC2
Danshen,DS45,PTGS1
Danshen,DS45,DRD1
Danshen,DS45,CHRM3
Danshen,DS45,CHRM1
Danshen,DS45,NCOA7
Danshen,DS45,AR
Danshen,DS45,SCNN1A
Danshen,DS45,PTGS2
Danshen,DS45,NOS3
Danshen,DS45,CA6
Danshen,DS45,CHRM4
Danshen,DS45,RXRA
Danshen,DS45,OPRD1
Danshen,DS45,PDE3A
Danshen,DS45,ADRA1A
Danshen,DS45,CHRM2
Danshen,DS45,ADRA1B
Danshen,DS45,SLC6A3
Danshen,DS45,ADRB2
