herb,herb_zh,compound_id,target_gene
Danshen,丹参,"5,6-dihydroxy-7-isopropyl-1,1-dimethyl-2,3-dihydrophenanthren-4-one",Alpha-1A
Danshen,丹参,"5,6-dihydroxy-7-isopropyl-1,1-dimethyl-2,3-dihydrophenanthren-4-one",Alpha-1B
Danshen,丹参,"5,6-dihydroxy-7-isopropyl-1,1-dimethyl-2,3-dihydrophenanthren-4-one",Beta-2
Danshen,丹参,"5,6-dihydroxy-7-isopropyl-1,1-dimethyl-2,3-dihydrophenanthren-4-one",DNA
Danshen,丹参,"5,6-dihydroxy-7-isopropyl-1,1-dimethyl-2,3-dihydrophenanthren-4-one",Mu-type
Danshen,丹参,"5,6-dihydroxy-7-isopropyl-1,1-dimethyl-2,3-dihydrophenanthren-4-one",Ig
Danshen,丹参,"5,6-dihydroxy-7-isopropyl-1,1-dimethyl-2,3-dihydrophenanthren-4-one",Nuclear
Danshen,丹参,"5,6-dihydroxy-7-isopropyl-1,1-dimethyl-2,3-dihydrophenanthren-4-one",Calmodulin
Danshen,丹参,"2-isopropyl-8-methylphenanthrene-3,4-dione",Nitric-oxide
Danshen,丹参,"2-isopropyl-8-methylphenanthrene-3,4-dione",Muscarinic
Danshen,丹参,"2-isopropyl-8-methylphenanthrene-3,4-dione",Retinoic
Danshen,丹参,"2-isopropyl-8-methylphenanthrene-3,4-dione",Alpha-1A
Danshen,丹参,"2-isopropyl-8-methylphenanthrene-3,4-dione",Alpha-1B
Danshen,丹参,"2-isopropyl-8-methylphenanthrene-3,4-dione",Sodium-dependent
Danshen,丹参,"2-isopropyl-8-methylphenanthrene-3,4-dione",Beta-2
Danshen,丹参,"2-isopropyl-8-methylphenanthrene-3,4-dione",Alpha-1D
Danshen,丹参,"2-isopropyl-8-methylphenanthrene-3,4-dione",Mu-type
Danshen,丹参,"2-isopropyl-8-methylphenanthrene-3,4-dione",Gamma-aminobutyric-acid
Danshen,丹参,"2-isopropyl-8-methylphenanthrene-3,4-dione",Cell
Danshen,丹参,"2-isopropyl-8-methylphenanthrene-3,4-dione","Phosphatidylinositol-4,5-bisphosphate"
Danshen,丹参,"2-isopropyl-8-methylphenanthrene-3,4-dione",Neuronal
Danshen,丹参,"2-isopropyl-8-methylphenanthrene-3,4-dione",cAMP-dependent
Danshen,丹参,"2-isopropyl-8-methylphenanthrene-3,4-dione",Ig
Danshen,丹参,"2-isopropyl-8-methylphenanthrene-3,4-dione",Proto-oncogene
Danshen,丹参,"2-isopropyl-8-methylphenanthrene-3,4-dione",Cyclin-A2
Danshen,丹参,"2-isopropyl-8-methylphenanthrene-3,4-dione",Nuclear
Danshen,丹参,"2-isopropyl-8-methylphenanthrene-3,4-dione",Calmodulin
Danshen,丹参,3α-hydroxytanshinoneⅡa,Neuronal
Danshen,丹参,3α-hydroxytanshinoneⅡa,Trypsin-1
Danshen,丹参,3α-hydroxytanshinoneⅡa,Nuclear
Danshen,丹参,"(E)-3-[2-(3,4-dihydroxyphenyl)-7-hydroxy-benzofuran-4-yl]acrylic acid",Prostaglandin
Danshen,丹参,"(E)-3-[2-(3,4-dihydroxyphenyl)-7-hydroxy-benzofuran-4-yl]acrylic acid",Tyrosine-protein
Danshen,丹参,"(E)-3-[2-(3,4-dihydroxyphenyl)-7-hydroxy-benzofuran-4-yl]acrylic acid",Heat
Danshen,丹参,4-methylenemiltirone,Prostaglandin
Danshen,丹参,4-methylenemiltirone,D(1A)
Danshen,丹参,4-methylenemiltirone,Muscarinic
Danshen,丹参,4-methylenemiltirone,Estrogen
Danshen,丹参,4-methylenemiltirone,Androgen
Danshen,丹参,4-methylenemiltirone,Sodium
Danshen,丹参,4-methylenemiltirone,Peroxisome
Danshen,丹参,4-methylenemiltirone,Nitric-oxide
Danshen,丹参,4-methylenemiltirone,Alpha-2A
Danshen,丹参,4-methylenemiltirone,Carbonic
Danshen,丹参,4-methylenemiltirone,Alpha-2C
Danshen,丹参,4-methylenemiltirone,Retinoic
Danshen,丹参,4-methylenemiltirone,Delta-type
Danshen,丹参,4-methylenemiltirone,Alpha-1A
Danshen,丹参,4-methylenemiltirone,Alpha-1B
Danshen,丹参,4-methylenemiltirone,Sodium-dependent
Danshen,丹参,4-methylenemiltirone,Beta-2
Danshen,丹参,4-methylenemiltirone,Alpha-1D
