herb_zh,gene,herb_en
丹参,GABRG3,Danshen
丹参,GSK3B,Danshen
丹参,HGF,Danshen
丹参,HMOX1,Danshen
丹参,HSP90AA2P,Danshen
丹参,HTR1A,Danshen
丹参,HTR1B,Danshen
丹参,HTR2A,Danshen
丹参,HTR2C,Danshen
丹参,ICAM2,Danshen
丹参,IFNG,Danshen
丹参,IGHG1,Danshen
丹参,IL10,Danshen
丹参,IL2,Danshen
丹参,IL36A,Danshen
丹参,IL4,Danshen
丹参,INSR,Danshen
丹参,ITGB3,Danshen
丹参,JUN,Danshen
丹参,KCNC2,Danshen
丹参,KCNU1,Danshen
丹参,LACTB,Danshen
丹参,MAP3K7,Danshen
丹参,MCL1,Danshen
丹参,MDM2,Danshen
丹参,MMP1,Danshen
丹参,MMP2,Danshen
丹参,MMP9,Danshen
丹参,MYC,Danshen
丹参,NAIP,Danshen
丹参,NCOA7,Danshen
丹参,NFKBIE,Danshen
丹参,NOS2,Danshen
丹参,NOS3,Danshen
丹参,NPM1,Danshen
丹参,NR1I2,Danshen
丹参,NR3C1,Danshen
丹参,NR3C2,Danshen
丹参,NUF2,Danshen
丹参,OPRD1,Danshen
丹参,OPRM1,Danshen
丹参,PARG,Danshen
丹参,PCNA,Danshen
丹参,PDE3A,Danshen
丹参,PGR,Danshen
丹参,PIK3CG,Danshen
丹参,PIM1,Danshen
丹参,PNRC2,Danshen
丹参,PPARG,Danshen
丹参,PRKACA,Danshen
丹参,PRSS1,Danshen
丹参,PTGES2,Danshen
丹参,PTGS1,Danshen
丹参,PTGS2,Danshen
丹参,PTPN22,Danshen
丹参,RBL1,Danshen
丹参,RELA,Danshen
丹参,RXRA,Danshen
丹参,SCNN1A,Danshen
丹参,SLC2A2,Danshen
丹参,SLC6A2,Danshen
丹参,SLC6A3,Danshen
丹参,SLC6A4,Danshen
丹参,STAT5B,Danshen
丹参,TNF,Danshen
丹参,TOP1,Danshen
丹参,TOP2A,Danshen
丹参,TP53,Danshen
丹参,TYR,Danshen
丹参,XDH,Danshen
人参,ACHE,Renshen
人参,ADRA1A,Renshen
人参,ADRA1B,Renshen
人参,ADRA1D,Renshen
人参,ADRA2A,Renshen
人参,ADRB1,Renshen
人参,ADRB2,Renshen
人参,AHR,Renshen
人参,AHSA1,Renshen
人参,AKR1B1,Renshen
人参,AKR1C3,Renshen
人参,AKT1,Renshen
人参,AOC2,Renshen
人参,AR,Renshen
人参,BAX,Renshen
人参,C3,Renshen
人参,CACNA1S,Renshen
人参,CALML5,Renshen
人参,CASP3,Renshen
人参,CASP8,Renshen
人参,CASP9,Renshen
人参,CDK1,Renshen
人参,CHRM1,Renshen
人参,CHRM2,Renshen
