gene,name,score,source
PRKCE,Protein Kinase C Epsilon,13.188222,GeneCards
USP14,Ubiquitin Specific Peptidase 14,13.188222,GeneCards
F2RL1,F2R Like Trypsin Receptor 1,13.185815,GeneCards
TSLP,Thymic Stromal Lymphopoietin,13.185815,GeneCards
GAA,Alpha Glucosidase,13.184813,GeneCards
NOTCH2,Notch Receptor 2,13.179722,GeneCards
CS,Citrate Synthase,13.179722,GeneCards
FUS,FUS RNA Binding Protein,13.175789,GeneCards
MEF2C,Myocyte Enhancer Factor 2C,13.175789,GeneCards
SHH,Sonic Hedgehog Signaling Molecule,13.175789,GeneCards
YWHAZ,Tyrosine 3-Monooxygenase/Tryptophan 5-Monooxygenase Activation Protein Zeta,13.175789,GeneCards
MT2A,Metallothionein 2A,13.175789,GeneCards
TM6SF2,Transmembrane 6 Superfamily Member 2,13.175789,GeneCards
APAF1,Apoptotic Peptidase Activating Factor 1,13.171009,GeneCards
IGF2BP2,Insulin Like Growth Factor 2 MRNA Binding Protein 2,13.171009,GeneCards
SRY,Sex Determining Region Y,13.171009,GeneCards
UNC5B,Unc-5 Netrin Receptor B,13.171009,GeneCards
RAD51,RAD51 Recombinase,13.159316,GeneCards
IRF2BP2,Interferon Regulatory Factor 2 Binding Protein 2,13.157522,GeneCards
NEIL3,Nei Like DNA Glycosylase 3,13.157522,GeneCards
TREML4,Triggering Receptor Expressed On Myeloid Cells Like 4,13.157522,GeneCards
TYMS,Thymidylate Synthetase,13.152052,GeneCards
LUM,Lumican,13.149968,GeneCards
ADH1C,"Alcohol Dehydrogenase 1C (Class I), Gamma Polypeptide",13.147568,GeneCards
SLC29A3,Solute Carrier Family 29 Member 3,13.139084,GeneCards
SLC29A2,Solute Carrier Family 29 Member 2,13.139084,GeneCards
NCAM1,Neural Cell Adhesion Molecule 1,13.118254,GeneCards
SLC22A11,Solute Carrier Family 22 Member 11,13.114513,GeneCards
RNY3,"RNA, Ro60-Associated Y3",13.032582,GeneCards
LTBP1,Latent Transforming Growth Factor Beta Binding Protein 1,13.02568,GeneCards
GPX6,Glutathione Peroxidase 6,13.02568,GeneCards
GLA,Galactosidase Alpha,13.024377,GeneCards
TRPA1,Transient Receptor Potential Cation Channel Subfamily A Member 1,13.020216,GeneCards
HES1,Hes Family BHLH Transcription Factor 1,13.017809,GeneCards
LRG1,Leucine Rich Alpha-2-Glycoprotein 1,13.01501,GeneCards
LIFR,LIF Receptor Subunit Alpha,13.011717,GeneCards
CLEC5A,C-Type Lectin Domain Containing 5A,13.011717,GeneCards
LMOD1,Leiomodin 1,13.007783,GeneCards
LY86,Lymphocyte Antigen 86,13.007783,GeneCards
F13B,Coagulation Factor XIII B Chain,13.003004,GeneCards
VAMP3,Vesicle Associated Membrane Protein 3,13.003004,GeneCards
S100A7,S100 Calcium Binding Protein A7,13.003004,GeneCards
CCL28,C-C Motif Chemokine Ligand 28,13.003004,GeneCards
SELENOP,Selenoprotein P,13.003004,GeneCards
SASH1,SAM And SH3 Domain Containing 1,12.997072,GeneCards
SAMD1,Sterile Alpha Motif Domain Containing 1,12.997072,GeneCards
AURKA,Aurora Kinase A,12.989517,GeneCards
INSIG2,Insulin Induced Gene 2,12.989517,GeneCards
SELENOS,Selenoprotein S,12.989517,GeneCards
MIR320B1,MicroRNA 320b-1,12.989517,GeneCards
ZNF385D,Zinc Finger Protein 385D,12.989517,GeneCards
MIR320B2,MicroRNA 320b-2,12.989517,GeneCards
OR6A2,Olfactory Receptor Family 6 Subfamily A Member 2,12.989517,GeneCards
PDE8B,Phosphodiesterase 8B,12.985993,GeneCards
CYP2A6,Cytochrome P450 Family 2 Subfamily A Member 6,12.985993,GeneCards
SCNN1B,Sodium Channel Epithelial 1 Subunit Beta,12.979563,GeneCards
SCNN1G,Sodium Channel Epithelial 1 Subunit Gamma,12.979563,GeneCards
HMGA2,High Mobility Group AT-Hook 2,12.979563,GeneCards
SDC2,Syndecan 2,12.979563,GeneCards
IL27,Interleukin 27,12.979563,GeneCards
MCM3AP-AS1,MCM3AP Antisense RNA 1,12.979563,GeneCards
SCNN1A,Sodium Channel Epithelial 1 Subunit Alpha,12.965852,GeneCards
HEG1,Heart Development Protein With EGF Like Domains 1,12.965852,GeneCards
MIR761,MicroRNA 761,12.965852,GeneCards
GSTO1,Glutathione S-Transferase Omega 1,12.965694,GeneCards
MAP3K20,Mitogen-Activated Protein Kinase Kinase Kinase 20,12.961423,GeneCards
AHSA1,Activator Of HSP90 ATPase Activity 1,12.961423,GeneCards
TDO2,"Tryptophan 2,3-Dioxygenase",12.956448,GeneCards
SPRR3,Small Proline Rich Protein 3,12.954666,GeneCards
SERPINB9,Serpin Family B Member 9,12.950625,GeneCards
PTGDS,Prostaglandin D2 Synthase,12.950112,GeneCards
DOCK4,Dedicator Of Cytokinesis 4,12.945764,GeneCards
PPP2R2A,Protein Phosphatase 2 Regulatory Subunit Balpha,12.945764,GeneCards
SYVN1,Synoviolin 1,12.945764,GeneCards
AQP9,Aquaporin 9,12.945764,GeneCards
MBNL1,Muscleblind Like Splicing Regulator 1,12.945764,GeneCards
NRF1,Nuclear Respiratory Factor 1,12.945764,GeneCards
NDRG4,NDRG Family Member 4,12.945764,GeneCards
SENP3,SUMO Specific Peptidase 3,12.945764,GeneCards
C1QL3,Complement C1q Like 3,12.945764,GeneCards
COG2,Component Of Oligomeric Golgi Complex 2,12.943238,GeneCards
DICER1,"Dicer 1, Ribonuclease III",12.940086,GeneCards
CPE,Carboxypeptidase E,12.940086,GeneCards
SUV39H1,SUV39H1 Histone Lysine Methyltransferase,12.931803,GeneCards
PCSK6,Proprotein Convertase Subtilisin/Kexin Type 6,12.929377,GeneCards
GHRHR,Growth Hormone Releasing Hormone Receptor,12.913503,GeneCards
IL1RAP,Interleukin 1 Receptor Accessory Protein,12.913503,GeneCards
CADPS,Calcium Dependent Secretion Activator,12.913503,GeneCards
SHB,SH2 Domain Containing Adaptor Protein B,12.913503,GeneCards
REG3A,Regenerating Family Member 3 Alpha,12.913503,GeneCards
LRRIQ3,Leucine Rich Repeats And IQ Motif Containing 3,12.913503,GeneCards
IDS,Iduronate 2-Sulfatase,12.876083,GeneCards
PRDX1,Peroxiredoxin 1,12.872589,GeneCards
PODXL,Podocalyxin Like,12.853189,GeneCards
GLS2,Glutaminase 2,12.853189,GeneCards
PDGFC,Platelet Derived Growth Factor C,12.810803,GeneCards
DOCK9-DT,DOCK9 Divergent Transcript,12.810803,GeneCards
PRDX6,Peroxiredoxin 6,12.803247,GeneCards
PGA5,Pepsinogen A5,12.793293,GeneCards
LOC730101,Uncharacterized LOC730101,12.793293,GeneCards
BRIP1,BRCA1 Interacting DNA Helicase 1,12.778712,GeneCards
HELLS,"Helicase, Lymphoid Specific",12.778712,GeneCards
EXO1,Exonuclease 1,12.778712,GeneCards
NHEJ1,Non-Homologous End Joining Factor 1,12.778712,GeneCards
RPA2,Replication Protein A2,12.778712,GeneCards
NEIL1,Nei Like DNA Glycosylase 1,12.778712,GeneCards
ACHE,Acetylcholinesterase (Yt Blood Group),12.754959,GeneCards
TMEM258,Transmembrane Protein 258,12.7001,GeneCards
MUS81,MUS81 Structure-Specific Endonuclease Subunit,12.662681,GeneCards
LIPM,Lipase Family Member M,12.662681,GeneCards
C1QB,Complement C1q B Chain,12.633632,GeneCards
ZAP70,Zeta Chain Of T Cell Receptor Associated Protein Kinase 70,12.618988,GeneCards
SP3,Sp3 Transcription Factor,12.618988,GeneCards
STS,Steroid Sulfatase,12.612839,GeneCards
OGN,Osteoglycin,12.602201,GeneCards
FDX1,Ferredoxin 1,12.598853,GeneCards
IFNAR2,Interferon Alpha And Beta Receptor Subunit 2,12.587767,GeneCards
MAOA,Monoamine Oxidase A,12.587767,GeneCards
LINC01554,Long Intergenic Non-Protein Coding RNA 1554,12.584047,GeneCards
GLUL,Glutamate-Ammonia Ligase,12.581474,GeneCards
IQGAP1,IQ Motif Containing GTPase Activating Protein 1,12.581474,GeneCards
UGDH,UDP-Glucose 6-Dehydrogenase,12.581474,GeneCards
ADRB3,Adrenoceptor Beta 3,12.581474,GeneCards
SYNPO2,Synaptopodin 2,12.581474,GeneCards
ARID5B,AT-Rich Interaction Domain 5B,12.5766945,GeneCards
ALDH3A2,Aldehyde Dehydrogenase 3 Family Member A2,12.570764,GeneCards
GSS,Glutathione Synthetase,12.570764,GeneCards
VSIG4,V-Set And Immunoglobulin Domain Containing 4,12.570764,GeneCards
TH,Tyrosine Hydroxylase,12.567679,GeneCards
PDK1,Pyruvate Dehydrogenase Kinase 1,12.563208,GeneCards
LIF,LIF Interleukin 6 Family Cytokine,12.563208,GeneCards
UQCR11,"Ubiquinol-Cytochrome C Reductase, Complex III Subunit XI",12.563208,GeneCards
SCARA3,Scavenger Receptor Class A Member 3,12.563208,GeneCards
CCR3,C-C Motif Chemokine Receptor 3,12.553253,GeneCards
FUT3,Fucosyltransferase 3 (Lewis Blood Group),12.553253,GeneCards
GRK4,G Protein-Coupled Receptor Kinase 4,12.553253,GeneCards
BNC2,Basonuclin Zinc Finger Protein 2,12.553253,GeneCards
SEL1L3,SEL1L Family Member 3,12.539543,GeneCards
CEACAM5,CEA Cell Adhesion Molecule 5,12.535418,GeneCards
MASP1,MBL Associated Serine Protease 1,12.519455,GeneCards
CNTN4,Contactin 4,12.519455,GeneCards
TOMM20,Translocase Of Outer Mitochondrial Membrane 20,12.519455,GeneCards
PHLDA1,Pleckstrin Homology Like Domain Family A Member 1,12.519455,GeneCards
MIR616,MicroRNA 616,12.519455,GeneCards
RARA,Retinoic Acid Receptor Alpha,12.505171,GeneCards
MT-CYB,Mitochondrially Encoded Cytochrome B,12.487194,GeneCards
KPNA2,Karyopherin Subunit Alpha 2,12.487194,GeneCards
PPM1B,"Protein Phosphatase, Mg2+/Mn2+ Dependent 1B",12.487194,GeneCards
ST3GAL1,"ST3 Beta-Galactoside Alpha-2,3-Sialyltransferase 1",12.487194,GeneCards
PPP1R3B,Protein Phosphatase 1 Regulatory Subunit 3B,12.487194,GeneCards
SAR1B,Secretion Associated Ras Related GTPase 1B,12.4831505,GeneCards
CAVIN1,Caveolae Associated Protein 1,12.479065,GeneCards
IL10RA,Interleukin 10 Receptor Subunit Alpha,12.475105,GeneCards
NFATC2,Nuclear Factor Of Activated T Cells 2,12.475105,GeneCards
MIR30B,MicroRNA 30b,12.475105,GeneCards
MIR1231,MicroRNA 1231,12.475083,GeneCards
STEAP2-AS1,STEAP2 Antisense RNA 1,12.475083,GeneCards
SLC16A1,Solute Carrier Family 16 Member 1,12.437015,GeneCards
CLMN,Calmin,12.437015,GeneCards
CD74,CD74 Molecule,12.430175,GeneCards
HSPA1A,Heat Shock Protein Family A (Hsp70) Member 1A,12.428551,GeneCards
SLC3A2,Solute Carrier Family 3 Member 2,12.426881,GeneCards
MIR1197,MicroRNA 1197,12.426881,GeneCards
TUBB,Tubulin Beta Class I,12.390576,GeneCards
ABCA7,ATP Binding Cassette Subfamily A Member 7,12.390576,GeneCards
RNU6-1,"RNA, U6 Small Nuclear 1",12.370748,GeneCards
EPHA2,EPH Receptor A2,12.363449,GeneCards
BCL2L11,BCL2 Like 11,12.363449,GeneCards
PTGER3,Prostaglandin E Receptor 3,12.360155,GeneCards
LYVE1,Lymphatic Vessel Endothelial Hyaluronan Receptor 1,12.356222,GeneCards
TAP2,"Transporter 2, ATP Binding Cassette Subfamily B Member",12.353518,GeneCards
RAD54L,RAD54 Like,12.353518,GeneCards
ITGA9,Integrin Subunit Alpha 9,12.353518,GeneCards
CCNT1,Cyclin T1,12.353518,GeneCards
PRDM8,PR/SET Domain 8,12.353518,GeneCards
CERS3,Ceramide Synthase 3,12.353518,GeneCards
CHAF1A,Chromatin Assembly Factor 1 Subunit A,12.353518,GeneCards
NANOG,Nanog Homeobox,12.353518,GeneCards
RAD54B,RAD54 Homolog B,12.353518,GeneCards
CHAF1B,Chromatin Assembly Factor 1 Subunit B,12.353518,GeneCards
POLN,DNA Polymerase Nu,12.353518,GeneCards
HIGD1A,HIG1 Hypoxia Inducible Domain Family Member 1A,12.353518,GeneCards
HIGD1AP1,HIG1 Hypoxia Inducible Domain Family Member 1A Pseudogene 1,12.353518,GeneCards
IGFBP4,Insulin Like Growth Factor Binding Protein 4,12.351442,GeneCards
PDZK1,PDZ Domain Containing 1,12.345437,GeneCards
NFIA,Nuclear Factor I A,12.337955,GeneCards
PFKFB3,"6-Phosphofructo-2-Kinase/Fructose-2,6-Biphosphatase 3",12.314291,GeneCards
MOK,MOK Protein Kinase,12.284328,GeneCards
CCL7,C-C Motif Chemokine Ligand 7,12.282704,GeneCards
SNORD118,"Small Nucleolar RNA, C/D Box 118",12.278776,GeneCards
UCA1,Urothelial Cancer Associated 1,12.278776,GeneCards
FASN,Fatty Acid Synthase,12.276369,GeneCards
IL1R2,Interleukin 1 Receptor Type 2,12.276369,GeneCards
ERCC2,"ERCC Excision Repair 2, TFIIH Core Complex Helicase Subunit",12.272688,GeneCards
FOXM1,Forkhead Box M1,12.270277,GeneCards
LAMP1,Lysosome Associated Membrane Protein 1,12.270277,GeneCards
STC2,Stanniocalcin 2,12.266343,GeneCards
CUX1,Cut Like Homeobox 1,12.261564,GeneCards
SMAD1,SMAD Family Member 1,12.261564,GeneCards
ALCAM,Activated Leukocyte Cell Adhesion Molecule,12.261564,GeneCards
LGMN,Legumain,12.261564,GeneCards
NEU1,Neuraminidase 1,12.255633,GeneCards
APC,APC Regulator Of Wnt Signaling Pathway,12.248077,GeneCards
CYP26A1,Cytochrome P450 Family 26 Subfamily A Member 1,12.248077,GeneCards
RAMP2,Receptor Activity Modifying Protein 2,12.248077,GeneCards
TICAM2,TIR Domain Containing Adaptor Molecule 2,12.248077,GeneCards
RLN2,Relaxin 2,12.248077,GeneCards
ITGB4,Integrin Subunit Beta 4,12.238123,GeneCards
DOT1L,DOT1 Like Histone Lysine Methyltransferase,12.238123,GeneCards
CTTN,Cortactin,12.238123,GeneCards
CALCRL,Calcitonin Receptor Like Receptor,12.238123,GeneCards
HR,HR Lysine Demethylase And Nuclear Receptor Corepressor,12.238123,GeneCards
SIRT7,Sirtuin 7,12.238123,GeneCards
ADAM8,ADAM Metallopeptidase Domain 8,12.238123,GeneCards
FADS2,Fatty Acid Desaturase 2,12.238123,GeneCards
SCUBE1,"Signal Peptide, CUB Domain And EGF Like Domain Containing 1",12.238123,GeneCards
GOLM1,Golgi Membrane Protein 1,12.238123,GeneCards
MYH14,Myosin Heavy Chain 14,12.237486,GeneCards
ABCA13,ATP Binding Cassette Subfamily A Member 13,12.237486,GeneCards
ABCB5,ATP Binding Cassette Subfamily B Member 5,12.237486,GeneCards
ZFYVE19,Zinc Finger FYVE-Type Containing 19,12.237486,GeneCards
SLC51B,SLC51 Subunit Beta,12.237486,GeneCards
ABCA10,ATP Binding Cassette Subfamily A Member 10,12.237486,GeneCards
ABCC12,ATP Binding Cassette Subfamily C Member 12,12.237486,GeneCards
INTS10,Integrator Complex Subunit 10,12.237486,GeneCards
TSHB,Thyroid Stimulating Hormone Subunit Beta,12.224412,GeneCards
APOL3,Apolipoprotein L3,12.224412,GeneCards
FEM1A,Fem-1 Homolog A,12.224412,GeneCards
CD200R1,CD200 Receptor 1,12.204325,GeneCards
PCYOX1,Prenylcysteine Oxidase 1,12.204325,GeneCards
MIR599,MicroRNA 599,12.204325,GeneCards
PMP22,Peripheral Myelin Protein 22,12.140556,GeneCards
USH2A,Usherin,12.140556,GeneCards
PLIN5,Perilipin 5,12.132034,GeneCards
GADD45G,Growth Arrest And DNA Damage Inducible Gamma,12.122256,GeneCards
CCNA2,Cyclin A2,12.1163225,GeneCards
PARK7,Parkinsonism Associated Deglycase,12.114699,GeneCards
SDHB,Succinate Dehydrogenase Complex Iron Sulfur Subunit B,12.111751,GeneCards
KLK10,Kallikrein Related Peptidase 10,12.111498,GeneCards
IL18R1,Interleukin 18 Receptor 1,12.110771,GeneCards
LY96,Lymphocyte Antigen 96,12.110771,GeneCards
DUSP6,Dual Specificity Phosphatase 6,12.108363,GeneCards
NOP56,NOP56 Ribonucleoprotein,12.108363,GeneCards
ST6GAL1,"ST6 Beta-Galactoside Alpha-2,6-Sialyltransferase 1",12.108363,GeneCards
SVEP1,"Sushi, Von Willebrand Factor Type A, EGF And Pentraxin Domain Containing 1",12.108363,GeneCards
SCUBE2,"Signal Peptide, CUB Domain And EGF Like Domain Containing 2",12.108363,GeneCards
SNORD44,"Small Nucleolar RNA, C/D Box 44",12.108363,GeneCards
PAFAH1B1,Platelet Activating Factor Acetylhydrolase 1b Regulatory Subunit 1,12.105565,GeneCards
AHRR,Aryl Hydrocarbon Receptor Repressor,12.105565,GeneCards
KLF6,KLF Transcription Factor 6,12.105565,GeneCards
NEDD4L,NEDD4 Like E3 Ubiquitin Protein Ligase,12.102271,GeneCards
ALDH4A1,Aldehyde Dehydrogenase 4 Family Member A1,12.102271,GeneCards
CXCL11,C-X-C Motif Chemokine Ligand 11,12.102271,GeneCards
PGK1,Phosphoglycerate Kinase 1,12.098337,GeneCards
ADAM9,ADAM Metallopeptidase Domain 9,12.098337,GeneCards
RICTOR,RPTOR Independent Companion Of MTOR Complex 2,12.098337,GeneCards
CORIN,"Corin, Serine Peptidase",12.098337,GeneCards
OSCAR,Osteoclast Associated Ig-Like Receptor,12.098337,GeneCards
GHSR,Growth Hormone Secretagogue Receptor,12.093558,GeneCards
CDK9,Cyclin Dependent Kinase 9,12.093558,GeneCards
RAB5A,"RAB5A, Member RAS Oncogene Family",12.093558,GeneCards
S1PR3,Sphingosine-1-Phosphate Receptor 3,12.093558,GeneCards
USP20,Ubiquitin Specific Peptidase 20,12.093558,GeneCards
CCL15,C-C Motif Chemokine Ligand 15,12.093558,GeneCards
CHEK2,Checkpoint Kinase 2,12.087627,GeneCards
GATA6,GATA Binding Protein 6,12.087627,GeneCards
ITGA8,Integrin Subunit Alpha 8,12.087627,GeneCards
CYP26B1,Cytochrome P450 Family 26 Subfamily B Member 1,12.087627,GeneCards
CES1,Carboxylesterase 1,12.087627,GeneCards
RAB5C,"RAB5C, Member RAS Oncogene Family",12.087627,GeneCards
SRSF3,Serine And Arginine Rich Splicing Factor 3,12.087627,GeneCards
CREB3,CAMP Responsive Element Binding Protein 3,12.087627,GeneCards
S100A10,S100 Calcium Binding Protein A10,12.087627,GeneCards
SESN1,Sestrin 1,12.087627,GeneCards
MAFF,MAF BZIP Transcription Factor F,12.087627,GeneCards
DOCK7,Dedicator Of Cytokinesis 7,12.080071,GeneCards
DHCR24,24-Dehydrocholesterol Reductase,12.080071,GeneCards
TBP,TATA-Box Binding Protein,12.080071,GeneCards
WNT4,Wnt Family Member 4,12.080071,GeneCards
GK,Glycerol Kinase,12.080071,GeneCards
ADORA2B,Adenosine A2b Receptor,12.080071,GeneCards
CRY1,Cryptochrome Circadian Regulator 1,12.080071,GeneCards
PRMT3,Protein Arginine Methyltransferase 3,12.080071,GeneCards
CFHR1,Complement Factor H Related 1,12.080071,GeneCards
EBF1,EBF Transcription Factor 1,12.080071,GeneCards
RCN2,Reticulocalbin 2,12.080071,GeneCards
XIAP,X-Linked Inhibitor Of Apoptosis,12.070117,GeneCards
PAK1,P21 (RAC1) Activated Kinase 1,12.070117,GeneCards
LPIN1,Lipin 1,12.070117,GeneCards
OSMR,Oncostatin M Receptor,12.070117,GeneCards
EREG,Epiregulin,12.070117,GeneCards
HRH1,Histamine Receptor H1,12.070117,GeneCards
ACVR1C,Activin A Receptor Type 1C,12.070117,GeneCards
ICAM3,Intercellular Adhesion Molecule 3,12.070117,GeneCards
SULT1A1,Sulfotransferase Family 1A Member 1,12.070117,GeneCards
IGFALS,Insulin Like Growth Factor Binding Protein Acid Labile Subunit,12.070117,GeneCards
KCNK1,Potassium Two Pore Domain Channel Subfamily K Member 1,12.070117,GeneCards
OTUB1,"OTU Deubiquitinase, Ubiquitin Aldehyde Binding 1",12.070117,GeneCards
KDM5D,Lysine Demethylase 5D,12.070117,GeneCards
RGS1,Regulator Of G Protein Signaling 1,12.070117,GeneCards
PDPN,Podoplanin,12.070117,GeneCards
GGT2P,"Gamma-Glutamyltransferase 2, Pseudogene",12.070117,GeneCards
YTHDF1,YTH N6-Methyladenosine RNA Binding Protein F1,12.070117,GeneCards
MIR495,MicroRNA 495,12.070117,GeneCards
MIR448,MicroRNA 448,12.070117,GeneCards
ZEB1-AS1,ZEB1 Antisense RNA 1,12.070117,GeneCards
NF2,"NF2, Moesin-Ezrin-Radixin Like (MERLIN) Tumor Suppressor",12.056406,GeneCards
FPR1,Formyl Peptide Receptor 1,12.056406,GeneCards
ADK,Adenosine Kinase,12.056406,GeneCards
JAG2,Jagged Canonical Notch Ligand 2,12.056406,GeneCards
CA2,Carbonic Anhydrase 2,12.056406,GeneCards
CDK6,Cyclin Dependent Kinase 6,12.056406,GeneCards
RIPK2,Receptor Interacting Serine/Threonine Kinase 2,12.056406,GeneCards
CUL5,Cullin 5,12.056406,GeneCards
SULT2B1,Sulfotransferase Family 2B Member 1,12.056406,GeneCards
CCRL2,C-C Motif Chemokine Receptor Like 2,12.056406,GeneCards
RSF1,Remodeling And Spacing Factor 1,12.056406,GeneCards
CPB1,Carboxypeptidase B1,12.056406,GeneCards
CASP12,Caspase 12 (Gene/Pseudogene),12.056406,GeneCards
DEFB103A,Defensin Beta 103A,12.056406,GeneCards
MIR942,MicroRNA 942,12.056406,GeneCards
HCCAT5,Hepatocellular Carcinoma Associated Transcript 5,12.056406,GeneCards
SUN1,Sad1 And UNC84 Domain Containing 1,12.050453,GeneCards
ICMT,Isoprenylcysteine Carboxyl Methyltransferase,12.050453,GeneCards
CBL,Cbl Proto-Oncogene,12.036319,GeneCards
SLC12A1,Solute Carrier Family 12 Member 1,12.036319,GeneCards
MCL1,"MCL1 Apoptosis Regulator, BCL2 Family Member",12.036319,GeneCards
TRIM14,Tripartite Motif Containing 14,12.036319,GeneCards
ANKRD11,Ankyrin Repeat Domain 11,12.036319,GeneCards
SPRY1,Sprouty RTK Signaling Antagonist 1,12.036319,GeneCards
FIS1,"Fission, Mitochondrial 1",12.036319,GeneCards
C1QTNF5,C1q And TNF Related 5,12.036319,GeneCards
OIP5,Opa Interacting Protein 5,12.036319,GeneCards
HOXC6,Homeobox C6,12.036319,GeneCards
NAT8,N-Acetyltransferase 8 (Putative),12.036319,GeneCards
USP31,Ubiquitin Specific Peptidase 31,12.036319,GeneCards
MIR24-2,MicroRNA 24-2,12.036319,GeneCards
NPHS1,"NPHS1 Adhesion Molecule, Nephrin",12.020568,GeneCards
ACSL4,Acyl-CoA Synthetase Long Chain Family Member 4,12.004057,GeneCards
DBN1,Drebrin 1,12.004057,GeneCards
HSPB8,Heat Shock Protein Family B (Small) Member 8,12.004057,GeneCards
SFTPB,Surfactant Protein B,12.004057,GeneCards
ZBTB20,Zinc Finger And BTB Domain Containing 20,12.004057,GeneCards
GBP1,Guanylate Binding Protein 1,12.004057,GeneCards
SSTR2,Somatostatin Receptor 2,12.004057,GeneCards
MARK4,Microtubule Affinity Regulating Kinase 4,12.004057,GeneCards
SNX10,Sorting Nexin 10,12.004057,GeneCards
CDKAL1,CDKAL1 Threonylcarbamoyladenosine TRNA Methylthiotransferase,12.004057,GeneCards
RAMP1,Receptor Activity Modifying Protein 1,12.004057,GeneCards
NOXA1,NADPH Oxidase Activator 1,12.004057,GeneCards
PTGR1,Prostaglandin Reductase 1,12.004057,GeneCards
RNLS,"Renalase, FAD Dependent Amine Oxidase",12.004057,GeneCards
SCAF1,SR-Related CTD Associated Factor 1,12.004057,GeneCards
LOC100507053,Uncharacterized LOC100507053,12.004057,GeneCards
UTS2B,Urotensin 2B,12.000861,GeneCards
CACNB2,Calcium Voltage-Gated Channel Auxiliary Subunit Beta 2,11.988094,GeneCards
ABCD1,ATP Binding Cassette Subfamily D Member 1,11.987466,GeneCards
FBXW7,F-Box And WD Repeat Domain Containing 7,11.943745,GeneCards
RAC2,Rac Family Small GTPase 2,11.943745,GeneCards
PPP1R12A,Protein Phosphatase 1 Regulatory Subunit 12A,11.943745,GeneCards
WDR5,WD Repeat Domain 5,11.943745,GeneCards
HTR2B,5-Hydroxytryptamine Receptor 2B,11.943745,GeneCards
PARP14,Poly(ADP-Ribose) Polymerase Family Member 14,11.943745,GeneCards
ARVCF,ARVCF Delta Catenin Family Member,11.943745,GeneCards
RAMP3,Receptor Activity Modifying Protein 3,11.943745,GeneCards
MT1E,Metallothionein 1E,11.943745,GeneCards
EVA1A,"Eva-1 Homolog A, Regulator Of Programmed Cell Death",11.943745,GeneCards
RCN3,Reticulocalbin 3,11.943745,GeneCards
EPO,Erythropoietin,11.930087,GeneCards
UBIAD1,UbiA Prenyltransferase Domain Containing 1,11.895187,GeneCards
PNPLA5,"Patatin Like Domain 5, Triacylglycerol Lipase ",11.882389,GeneCards
RAB20,"RAB20, Member RAS Oncogene Family",11.872713,GeneCards
GPD1,Glycerol-3-Phosphate Dehydrogenase 1,11.8330765,GeneCards
UBASH3B,Ubiquitin Associated And SH3 Domain Containing B,11.812401,GeneCards
CFDP1,Chromatin Stabilizing Protein CFDP1,11.812401,GeneCards
ERCC4,"ERCC Excision Repair 4, Endonuclease Catalytic Subunit",11.797588,GeneCards
GALNT2,Polypeptide N-Acetylgalactosaminyltransferase 2,11.790654,GeneCards
KLF10,KLF Transcription Factor 10,11.790654,GeneCards
LINC02915,Long Intergenic Non-Protein Coding RNA 2915,11.790654,GeneCards
FOXL2,Forkhead Box L2,11.788273,GeneCards
SLC22A6,Solute Carrier Family 22 Member 6,11.788273,GeneCards
SLC22A7,Solute Carrier Family 22 Member 7,11.788273,GeneCards
TAS2R14,Taste 2 Receptor Member 14,11.788273,GeneCards
NBEAP1,Neurobeachin Pseudogene 1,11.788273,GeneCards
FOLR2,Folate Receptor Beta,11.787457,GeneCards
POC1B,POC1 Centriolar Protein B,11.746998,GeneCards
KCNV2,Potassium Voltage-Gated Channel Modifier Subfamily V Member 2,11.746998,GeneCards
PLAGL1,PLAG1 Like Zinc Finger 1,11.746998,GeneCards
IMPG1,Interphotoreceptor Matrix Proteoglycan 1,11.746998,GeneCards
NOMO1,NODAL Modulator 1,11.746998,GeneCards
NOMO2,NODAL Modulator 2,11.746998,GeneCards
LIPF,"Lipase F, Gastric Type",11.697841,GeneCards
KCNH4,Potassium Voltage-Gated Channel Subfamily H Member 4,11.697637,GeneCards
NR2F2,Nuclear Receptor Subfamily 2 Group F Member 2,11.692756,GeneCards
RNY5,"RNA, Ro60-Associated Y5",11.690014,GeneCards
MIR147B,MicroRNA 147b,11.688753,GeneCards
TGFBI,Transforming Growth Factor Beta Induced,11.683396,GeneCards
NPHS2,"NPHS2 Stomatin Family Member, Podocin",11.683396,GeneCards
GSTO2,Glutathione S-Transferase Omega 2,11.679256,GeneCards
VCP,Valosin Containing Protein,11.677811,GeneCards
TOP1,DNA Topoisomerase I,11.677811,GeneCards
DNAH8,Dynein Axonemal Heavy Chain 8,11.677811,GeneCards
HDAC6,Histone Deacetylase 6,11.675962,GeneCards
PTPN2,Protein Tyrosine Phosphatase Non-Receptor Type 2,11.675962,GeneCards
CYP19A1,Cytochrome P450 Family 19 Subfamily A Member 1,11.672029,GeneCards
MAP3K1,Mitogen-Activated Protein Kinase Kinase Kinase 1,11.672029,GeneCards
CD81,CD81 Molecule,11.672029,GeneCards
IRF9,Interferon Regulatory Factor 9,11.672029,GeneCards
CNN1,Calponin 1,11.672029,GeneCards
MIR1268B,MicroRNA 1268b,11.672029,GeneCards
MIR1268A,MicroRNA 1268a,11.672029,GeneCards
SCRG1,Stimulator Of Chondrogenesis 1,11.672029,GeneCards
PNP,Purine Nucleoside Phosphorylase,11.66725,GeneCards
CUBN,Cubilin,11.66725,GeneCards
