gene
ABCA1
ACAA2
ADORA2A
ADRB1
APOA1
CCR2
CES1
CETP
CFB
F9
FGF1
FGFR1
FGFR3
GP6
GRIA
HCAR2
HMGCR
HTR1A
HTR2B
IL1A
LCAT
LIPG
MMP-12
NOS2
NOS3
NR1H
OLR1
PCSK9
PDGFR
PK
PTGDR
PTGDR2
PTGER2
PTGFR
PTGIR
RORG
SELP
SQLE
TBXA2R
