herb_zh,herb_en,herb_code,compound_name
人参,Renshen,RS,alexandrin_qt
黄芪,Huangqi,HQ,Mairin
黄芪,Huangqi,HQ,"(3S,8S,9S,10R,13R,14S,17R)-10,13-dimethyl-17-[(2R,5S)-5-propan-2-yloctan-2-yl]-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol"
