gene,name,score,source
BGN,Biglycan,83.55999,GeneCards
LDLRAP1,Low Density Lipoprotein Receptor Adaptor Protein 1,82.57878,GeneCards
MMP3,Matrix Metallopeptidase 3,82.45673,GeneCards
TNF,Tumor Necrosis Factor,79.54615,GeneCards
FBN1,Fibrillin 1,79.106895,GeneCards
NFE2L2,NFE2 Like BZIP Transcription Factor 2,78.429665,GeneCards
SMAD2,SMAD Family Member 2,77.48023,GeneCards
ELN,Elastin,76.815056,GeneCards
MIR146A,MicroRNA 146a,76.597145,GeneCards
ENPP1,Ectonucleotide Pyrophosphatase/Phosphodiesterase 1,75.24378,GeneCards
ENG,Endoglin,74.64306,GeneCards
MYH11,Myosin Heavy Chain 11,74.18216,GeneCards
ACTA2,"Actin Alpha 2, Smooth Muscle",74.12547,GeneCards
MIR221,MicroRNA 221,73.54665,GeneCards
CAV1,Caveolin 1,73.347275,GeneCards
INS,Insulin,72.84589,GeneCards
SOAT2,Sterol O-Acyltransferase 2,72.74541,GeneCards
MSR1,Macrophage Scavenger Receptor 1,72.34839,GeneCards
TGFB2,Transforming Growth Factor Beta 2,72.18657,GeneCards
PPARA,Peroxisome Proliferator Activated Receptor Alpha,72.12245,GeneCards
IL1B,Interleukin 1 Beta,72.065384,GeneCards
WRN,WRN RecQ Like Helicase,72.000275,GeneCards
TGFBR1,Transforming Growth Factor Beta Receptor 1,71.98698,GeneCards
SMPD1,Sphingomyelin Phosphodiesterase 1,71.859276,GeneCards
F2,"Coagulation Factor II, Thrombin",71.84321,GeneCards
SMILR,"Smooth Muscle Induced LncRNA, Enhancer Of Proliferation",71.78879,GeneCards
TGFBR2,Transforming Growth Factor Beta Receptor 2,71.023636,GeneCards
RHOA,Ras Homolog Family Member A,70.88599,GeneCards
TGFB3,Transforming Growth Factor Beta 3,70.2935,GeneCards
EPHX2,Epoxide Hydrolase 2,69.776665,GeneCards
MTOR,Mechanistic Target Of Rapamycin Kinase,69.553314,GeneCards
SERPINE1,Serpin Family E Member 1,69.16818,GeneCards
PTPN11,Protein Tyrosine Phosphatase Non-Receptor Type 11,68.757744,GeneCards
TLR2,Toll Like Receptor 2,68.56215,GeneCards
TNFSF4,TNF Superfamily Member 4,68.52785,GeneCards
SELP,Selectin P,68.13999,GeneCards
MIR145,MicroRNA 145,68.083824,GeneCards
MYLK,Myosin Light Chain Kinase,68.0314,GeneCards
ABCC2,ATP Binding Cassette Subfamily C Member 2,67.56795,GeneCards
ICAM1,Intercellular Adhesion Molecule 1,66.79271,GeneCards
MAPK8,Mitogen-Activated Protein Kinase 8,66.567986,GeneCards
F11,Coagulation Factor XI,66.41301,GeneCards
PON2,Paraoxonase 2,66.40483,GeneCards
LMF1,Lipase Maturation Factor 1,66.391396,GeneCards
GGCX,Gamma-Glutamyl Carboxylase,66.2292,GeneCards
APOA1-AS,APOA1 Antisense RNA,66.191154,GeneCards
CELA2A,Chymotrypsin Like Elastase 2A,66.16609,GeneCards
MAPK14,Mitogen-Activated Protein Kinase 14,66.15478,GeneCards
MAPK1,Mitogen-Activated Protein Kinase 1,66.082214,GeneCards
ALOX15,Arachidonate 15-Lipoxygenase,66.03703,GeneCards
ITGB3,Integrin Subunit Beta 3,65.99757,GeneCards
EGR1,Early Growth Response 1,65.843,GeneCards
LRP1,LDL Receptor Related Protein 1,65.7826,GeneCards
CDH13,Cadherin 13,65.39971,GeneCards
PLAU,"Plasminogen Activator, Urokinase",65.35896,GeneCards
F7,Coagulation Factor VII,65.23972,GeneCards
VKORC1,Vitamin K Epoxide Reductase Complex Subunit 1,65.221825,GeneCards
FGB,Fibrinogen Beta Chain,65.14248,GeneCards
ABCG1,ATP Binding Cassette Subfamily G Member 1,65.132164,GeneCards
FABP4,Fatty Acid Binding Protein 4,65.10814,GeneCards
P2RY12,Purinergic Receptor P2Y12,65.10552,GeneCards
F5,Coagulation Factor V,64.99842,GeneCards
AGTR1,Angiotensin II Receptor Type 1,64.97455,GeneCards
KLF4,KLF Transcription Factor 4,64.97258,GeneCards
VCAM1,Vascular Cell Adhesion Molecule 1,64.73457,GeneCards
HNF1A,HNF1 Homeobox A,64.59268,GeneCards
PRKG1,Protein Kinase CGMP-Dependent 1,64.43618,GeneCards
DNASE1,Deoxyribonuclease 1,64.03432,GeneCards
NEAT1,Nuclear Paraspeckle Assembly Transcript 1,63.980713,GeneCards
MIR33A,MicroRNA 33a,63.95243,GeneCards
HNF4A,Hepatocyte Nuclear Factor 4 Alpha,63.16387,GeneCards
GATA4,GATA Binding Protein 4,63.147232,GeneCards
F13A1,Coagulation Factor XIII A Chain,63.000984,GeneCards
SMAD4,SMAD Family Member 4,62.882435,GeneCards
HSPD1,Heat Shock Protein Family D (Hsp60) Member 1,62.59201,GeneCards
MIR126,MicroRNA 126,62.260204,GeneCards
GP1BA,Glycoprotein Ib Platelet Subunit Alpha,61.901405,GeneCards
MIR125A,MicroRNA 125a,61.7806,GeneCards
MAT2A,Methionine Adenosyltransferase 2A,61.68622,GeneCards
TREM1,Triggering Receptor Expressed On Myeloid Cells 1,61.589157,GeneCards
CREB3L3,CAMP Responsive Element Binding Protein 3 Like 3,61.546795,GeneCards
AGT,Angiotensinogen,61.231316,GeneCards
KDR,Kinase Insert Domain Receptor,61.042675,GeneCards
TNFAIP3,TNF Alpha Induced Protein 3,60.6095,GeneCards
CTNNB1,Catenin Beta 1,60.373844,GeneCards
F8,Coagulation Factor VIII,60.312572,GeneCards
THBD,Thrombomodulin,60.002865,GeneCards
