"gene","log2FC","AveExpr","t","pvalue","padj","B"
"ENSMUSG00000001348",4.63298746255098,0.0604327749524945,16.7088399814529,2.15305771737172e-07,0.00548146964265666,5.84935660489118
"ENSMUSG00000030786",3.04740513750101,6.22812032118964,13.9134607626561,8.62911598105688e-07,0.0109844331880864,6.53059603460822
"ENSMUSG00000020689",1.6166266399669,4.70239576353706,12.4645285277757,1.97054848062207e-06,0.0123703969617969,5.70635124099339
"ENSMUSG00000030513",-1.47486986970505,5.50718772709245,-12.2872922905244,2.19308829836434e-06,0.0123703969617969,5.61895742704008
"ENSMUSG00000026822",4.23320162474836,3.12646269456826,12.1198872650959,2.4294742452172e-06,0.0123703969617969,5.34426076034313
"ENSMUSG00000079293",-3.01286355253448,0.342633585951427,-10.944465944588,5.17951416665216e-06,0.0182329214425877,3.94355606691026
"ENSMUSG00000049303",2.2267750590343,4.31068554454418,10.7173245327818,6.04572191336804e-06,0.0182329214425877,4.62864553402731
"ENSMUSG00000093405",-1.3015599746192,5.55901580188287,-10.6410299217391,6.37220481878975e-06,0.0182329214425877,4.58383343204375
"ENSMUSG00000042717",0.891913718722352,9.35152776634829,10.4400105443521,7.33115830789129e-06,0.0182329214425877,4.37538319250333
"ENSMUSG00000029201",1.28459950188544,3.81529477253219,10.3775938591796,7.66102782650651e-06,0.0182329214425877,4.39173345400435
"ENSMUSG00000085786",3.45785361086892,-0.735961968070833,10.338185331012,7.87784814283613e-06,0.0182329214425877,3.52689725792732
"ENSMUSG00000016024",1.65813769082952,3.93128899174488,10.1881551189897,8.7684994905064e-06,0.0186031023774002,4.2645873656622
"ENSMUSG00000000290",1.54027276371537,4.73910346633979,9.87000559392552,1.10556195774031e-05,0.0216511552939312,4.04055548136375
"ENSMUSG00000099576",2.17670655707803,1.53212551988434,9.67281305829667,1.28054638968411e-05,0.0232867360964056,3.74380338391156
"ENSMUSG00000026670",1.40091826633411,5.44663254676048,9.4540901733851,1.51182072850432e-05,0.0247634886226467,3.71515994423729
"ENSMUSG00000023913",1.54822265728598,2.55678877999105,9.22582585505369,1.80422369528582e-05,0.0247634886226467,3.5344927340106
"ENSMUSG00000036594",-2.09946943328103,2.30249636190326,-9.17582155450573,1.87641120855629e-05,0.0247634886226467,3.43475946605503
"ENSMUSG00000090231",2.35834017940279,2.52924534414454,9.1224784011997,1.95699779650828e-05,0.0247634886226467,3.45462484530119
"ENSMUSG00000024561",1.08565988316819,5.4919939711363,9.05875212102374,2.05838345096138e-05,0.0247634886226467,3.39995630778958
"ENSMUSG00000032440",1.08862063181621,8.48028398579825,8.99414752930485,2.16719526071882e-05,0.0247634886226467,3.26260092105812
"ENSMUSG00000020901",2.41746149820282,3.56032669138483,8.98731042564082,2.17908197932391e-05,0.0247634886226467,3.37738596985993
"ENSMUSG00000059089",2.69627522314004,2.94729609437994,8.91133502896136,2.31618822742094e-05,0.0247634886226467,3.31016684127655
"ENSMUSG00000037095",2.44759583895864,5.48678246314523,8.86216555635639,2.41004742693666e-05,0.0247634886226467,3.2406475343931
"ENSMUSG00000037206",-1.72421112170981,5.61724325237848,-8.85044293504583,2.43304685564225e-05,0.0247634886226467,3.2386699602503
"ENSMUSG00000006014",2.83949454531052,3.84776391322404,8.7109259453072,2.72644761835563e-05,0.0247634886226467,3.1561102191436
"ENSMUSG00000047085",-2.3395068374361,3.22141948496767,-8.64951736016257,2.86794527619293e-05,0.0247634886226467,3.09837626134096
