"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: bacterial","mmu05152","Tuberculosis","17/103","180/11185",0.0944444444444444,10.2559331175836,12.0689518748116,5.25474261012554e-13,1.83915991354394e-10,1.83915991354394e-10,"56619/12265/16149/16409/20698/16414/14969/14961/16176/21937/14130/12796/16803/14960/246256/56644/14127",17
"Human Diseases","Infectious disease: parasitic","mmu05140","Leishmaniasis","9/103","70/11185",0.128571428571429,13.9618585298197,10.4874446617139,1.36421951700652e-08,2.38738415476141e-06,2.38738415476141e-06,"16409/16414/14969/14961/16176/17972/19225/14960/246256",9
"Organismal Systems","Development and regeneration","mmu04380","Osteoclast differentiation","11/103","132/11185",0.0833333333333333,9.04935275080906,8.96842043039019,3.22544243283731e-08,3.76301617164353e-06,3.76301617164353e-06,"21813/16416/18733/16176/21937/17972/20375/18722/11433/14130/246256",11
"Organismal Systems","Immune system","mmu04640","Hematopoietic cell lineage","9/103","93/11185",0.0967741935483871,10.5089257751331,8.8772023583013,1.69412832564342e-07,1.48236228493799e-05,1.48236228493799e-05,"16416/16409/17380/14969/14961/16176/16190/14960/12494",9
"Human Diseases","Infectious disease: bacterial","mmu05150","Staphylococcus aureus infection","10/103","131/11185",0.0763358778625954,8.28948343585563,8.0906011109685,3.22465892669581e-07,2.25726124868706e-05,2.25726124868706e-05,"16409/14962/16414/14969/14961/14130/14289/12796/14960/246256",10
"Cellular Processes","Transport and catabolism","mmu04145","Phagocytosis","14/103","305/11185",0.0459016393442623,4.98456151519975,6.80180421073592,7.23133105055701e-07,4.21827644615826e-05,4.21827644615826e-05,"11647/16416/16409/19354/16414/14969/14961/17972/14130/14960/246256/17394/56644/16819",14
"Organismal Systems","Immune system","mmu04659","Th17 cell differentiation","8/103","105/11185",0.0761904761904762,8.27369394359686,7.21918067720149,5.24567600347816e-06,0.000262283800173908,0.000262283800173908,"21813/20848/14969/14961/16176/50498/16190/14960",8
"Human Diseases","Infectious disease: parasitic","mmu05145","Toxoplasmosis","8/103","109/11185",0.073394495412844,7.97007214750156,7.0496436995349,6.93446604308713e-06,0.000303382889385062,0.000303382889385062,"12265/20848/14969/14961/21937/14960/11796/320207",8
"Environmental Information Processing","Signaling molecules and interaction","mmu04518","Integrin signaling","9/103","153/11185",0.0588235294117647,6.38777841233581,6.46898930736071,1.1123099998526e-05,0.000432564999942676,0.000432564999942676,"16416/16000/16409/19354/16414/242022/12829/245026/18654",9
"Human Diseases","Immune disease","mmu05323","Rheumatoid arthritis","7/103","87/11185",0.0804597701149425,8.73730610422944,6.98449745629012,1.46157174778241e-05,0.000511550111723843,0.000511550111723843,"16414/14969/14961/16176/11433/14960/17392",7
"Human Diseases","Immune disease","mmu05321","Inflammatory bowel disease","6/103","62/11185",0.0967741935483871,10.5089257751331,7.23809788737988,2.1327482321303e-05,0.000634418591098455,0.000634418591098455,"20848/14969/14961/16176/16190/14960",6
"Organismal Systems","Immune system","mmu04613","Neutrophil extracellular trap formation","10/103","209/11185",0.0478468899521531,5.1958006224741,5.90301729399243,2.1751494551947e-05,0.000634418591098455,0.000634418591098455,"16416/16409/19354/16414/17972/12363/14289/12796/246256/56644",10
"Human Diseases","Immune disease","mmu05310","Asthma","4/103","25/11185",0.16,17.3747572815534,7.90170654908139,7.39355684399202e-05,0.00199057299645939,0.00199057299645939,"14969/14961/14960/14127",4
"Environmental Information Processing","Signal transduction","mmu04668","TNF signaling pathway","7/103","118/11185",0.0593220338983051,6.44191212769459,5.72909062479875,0.000104493040249669,0.00261232600624174,0.00261232600624174,"16176/21937/19225/11796/17392/21929/17387",7
"Human Diseases","Infectious disease: viral","mmu05168","Herpes simplex virus 1 infection","9/103","209/11185",0.0430622009569378,4.67622056022669,5.17202686593639,0.000128530106887913,0.00299903582738464,0.00299903582738464,"16416/16149/18636/14969/14961/16176/21937/14960/11796",9
"Organismal Systems","Immune system","mmu04657","IL-17 signaling pathway","6/103","97/11185",0.0618556701030928,6.71704534080673,5.45178868165821,0.000264446244808919,0.00578476160519511,0.00578476160519511,"16176/19225/17392/20201/21929/16819",6
"Environmental Information Processing","Signaling molecules and interaction","mmu04060","Cytokine-cytokine receptor interaction","10/103","294/11185",0.0340136054421769,3.69361336767717,4.51214620552246,0.000368510701711165,0.00758698503522988,0.00758698503522987,"21813/12984/16176/21937/57266/50498/21950/16190/29820/18414",10
"Human Diseases","Infectious disease: viral","mmu05166","Human T-cell leukemia virus 1 infection","9/103","245/11185",0.036734693877551,3.98910243709134,4.56061381488895,0.000419659747125691,0.00816005063855511,0.00816005063855511,"21813/13653/16414/14969/14961/21937/12575/20375/14960",9
"Environmental Information Processing","Signal transduction","mmu04064","NF-kappa B signaling pathway","6/103","107/11185",0.0560747663551402,6.08928409400236,5.0994815144783,0.000449143252249219,0.00827369148880139,0.00827369148880139,"16176/21937/19225/16803/11796/21929",6
"Organismal Systems","Immune system","mmu04625","C-type lectin receptor signaling pathway","6/103","112/11185",0.0535714285714286,5.81744105409154,4.9397035875533,0.000572990534150501,0.0100273343476338,0.0100273343476338,"56619/17474/16176/19225/56644/14127",6
"Organismal Systems","Immune system","mmu04662","B cell receptor signaling pathway","5/103","80/11185",0.0625,6.7870145631068,5.00781649082295,0.000835611673348075,0.0139268612224679,0.0139268612224679,"19354/18733/18722/14130/83490",5
"Human Diseases","Cancer: overview","mmu05202","Transcriptional misregulation in cancer","8/103","219/11185",0.0365296803652968,3.96683956199849,4.27464562519425,0.000917176560098596,0.0145914452742958,0.0145914452742958,"21813/16000/16409/80859/12575/20375/11796/17392",8
"Organismal Systems","Immune system","mmu04612","Antigen processing and presentation","5/103","86/11185",0.0581395348837209,6.31350191916911,4.76865891848885,0.00115902855483169,0.0176373910517865,0.0176373910517865,"12265/16149/14969/14961/14960",5
"Environmental Information Processing","Signaling molecules and interaction","mmu04514","Cell adhesion molecule (CAM) interaction","7/103","179/11185",0.0391061452513966,4.24662363725118,4.2213545131793,0.00130257289074107,0.0189238082277893,0.0189238082277893,"272381/16409/20971/16414/14969/14961/14960",7
"Environmental Information Processing","Signaling molecules and interaction","mmu04512","ECM-receptor interaction","5/103","89/11185",0.0561797752808989,6.10068724773645,4.65745420360023,0.00135170058769923,0.0189238082277893,0.0189238082277893,"16416/20971/242022/12829/245026",5
"Human Diseases","Cardiovascular disease","mmu05416","Viral myocarditis","5/103","92/11185",0.0543478260869565,5.90175179400591,4.55123061623076,0.00156706166405332,0.0210950608622562,0.0210950608622562,"19354/16414/14969/14961/14960",5
"Human Diseases","Immune disease","mmu05332","Graft-versus-host disease","4/103","58/11185",0.0689655172413793,7.48911951791095,4.77659967281266,0.00196521545026465,0.0254750150960233,0.0254750150960233,"14969/14961/16176/14960",4
"Environmental Information Processing","Signal transduction","mmu04151","PI3K-Akt signaling pathway","10/103","368/11185",0.0271739130434783,2.95087589700295,3.66866668726073,0.00204571937914326,0.0255714922392907,0.0255714922392907,"16416/16000/12575/12829/245026/16190/320207/83490/18654/18414",10
"Human Diseases","Endocrine and metabolic disease","mmu04933","AGE-RAGE signaling pathway in diabetic complications","5/103","101/11185",0.0495049504950495,5.37585311929251,4.25876114332933,0.0023650307553871,0.0285434746339823,0.0285434746339823,"21813/13653/20848/16176/12829",5
"Human Diseases","Cardiovascular disease","mmu05418","Fluid shear stress and atherosclerosis","6/103","149/11185",0.0402684563758389,4.37284159770639,3.99568600382166,0.00250208489815358,0.0291909904784584,0.0291909904784584,"19252/16416/19354/20971/16176/21937",6
"Cellular Processes","Cellular community - eukaryotes","mmu04510","Focal adhesion","7/103","202/11185",0.0346534653465347,3.76309718350476,3.82049355804901,0.00259250309850995,0.0292701962734995,0.0292701962734995,"16416/16000/19354/12829/245026/11796/18654",7
"Human Diseases","Endocrine and metabolic disease","mmu04940","Type I diabetes mellitus","4/103","65/11185",0.0615384615384615,6.68259895444361,4.42954798192785,0.00298584080578649,0.0326576338132898,0.0326576338132898,"14969/14961/16176/14960",4
"Environmental Information Processing","Signal transduction","mmu04015","Rap1 signaling pathway","7/103","214/11185",0.0327102803738318,3.55208238816804,3.63401393457249,0.00357212382195029,0.0378861617479576,0.0378861617479576,"16416/16000/16409/19354/16414/23880/18654",7
