"group","celltype","gene","expr"
"CLP","Macrophages","Flt1",0.342711417628371
"CLP","Macrophages","Tnfrsf1a",0.64237160827259
"CLP","Macrophages","Ccr2",0.150022192054362
"CLP","Macrophages","Ccl2",0.822883678885465
"CLP","Macrophages","Tnf",0.494964837372092
"CLP","Macrophages","Vegfa",0.0682654909581172
"CLP","Macrophages","Csf1r",0.903496134004484
"CLP","Pericytes","Il1r1",0.537999353766767
"CLP","Pericytes","Cd44",0.0466735294355899
"CLP","Pericytes","Il1b",0.0271882208746291
"CLP","Pericytes","Cxcr3",0
"CLP","Pericytes","Il6ra",0.0194697699059169
"CLP","Pericytes","Csf1",0.461482392876874
"CLP","Pericytes","Il6",0.765182039398254
"CLP","Pericytes","Cxcl10",0.570171810105152
"CLP","Pericytes","Spp1",0
"CLP","Pericytes","Flt1",1.32331081190762
"CLP","Pericytes","Tnfrsf1a",1.00860820523961
"CLP","Pericytes","Ccr2",0.00147400857567291
"CLP","Pericytes","Ccl2",0.592833796589584
"CLP","Pericytes","Tnf",0.129637552994938
"CLP","Pericytes","Vegfa",0.249702932702739
"CLP","Pericytes","Csf1r",0.0329749770789969
"CLP","T-cells","Il1r1",0.045845143923585
"CLP","T-cells","Cd44",0.26144206649517
"CLP","T-cells","Il1b",0.0256101415136761
"CLP","T-cells","Cxcr3",0.0612745043170557
"CLP","T-cells","Il6ra",0.0936577948937392
"CLP","T-cells","Csf1",0.0685802059759451
"CLP","T-cells","Il6",0.18790046449815
"CLP","T-cells","Cxcl10",0.206853275746249
"CLP","T-cells","Spp1",0.0118127581740365
"CLP","T-cells","Flt1",0.483633276219006
"CLP","T-cells","Tnfrsf1a",0.264799092848012
"CLP","T-cells","Ccr2",0.224025827498013
"CLP","T-cells","Ccl2",0.227285187390859
"CLP","T-cells","Tnf",0.166531568284478
"CLP","T-cells","Vegfa",0.0744562301380854
"CLP","T-cells","Csf1r",0.0052318754750495
"Control","B-cells","Il1r1",0.03702804058353
"Control","B-cells","Cd44",0.149590099488613
"Control","B-cells","Il1b",0
"Control","B-cells","Cxcr3",0.00994492176734271
"Control","B-cells","Il6ra",0.0827303756201983
"Control","B-cells","Csf1",0.0901794853090803
"Control","B-cells","Il6",0
"Control","B-cells","Cxcl10",0.0460377740767764
"Control","B-cells","Spp1",0
"Control","B-cells","Flt1",0.813435846573031
"Control","B-cells","Tnfrsf1a",0.182037634350996
"Control","B-cells","Ccr2",0.00283156284525556
