"FPR","TPR"
0,0
0.00961538461538462,0
0.00961538461538462,0.0136986301369863
0.0192307692307692,0.0136986301369863
0.0288461538461538,0.0136986301369863
0.0384615384615385,0.0136986301369863
0.0480769230769231,0.0136986301369863
0.0576923076923077,0.0136986301369863
0.0673076923076923,0.0136986301369863
0.0769230769230769,0.0136986301369863
0.0865384615384615,0.0136986301369863
0.0961538461538462,0.0136986301369863
0.0961538461538462,0.0273972602739726
0.0961538461538462,0.0410958904109589
0.105769230769231,0.0410958904109589
0.105769230769231,0.0547945205479452
0.105769230769231,0.0684931506849315
0.115384615384615,0.0684931506849315
0.125,0.0684931506849315
0.134615384615385,0.0684931506849315
0.144230769230769,0.0684931506849315
0.144230769230769,0.0821917808219178
0.153846153846154,0.0821917808219178
0.153846153846154,0.0958904109589041
0.163461538461538,0.0958904109589041
0.163461538461538,0.10958904109589
0.163461538461538,0.123287671232877
0.163461538461538,0.136986301369863
0.163461538461538,0.150684931506849
0.163461538461538,0.164383561643836
0.173076923076923,0.164383561643836
0.173076923076923,0.178082191780822
0.173076923076923,0.191780821917808
0.173076923076923,0.205479452054795
0.182692307692308,0.205479452054795
0.192307692307692,0.205479452054795
0.201923076923077,0.205479452054795
0.211538461538462,0.205479452054795
0.221153846153846,0.205479452054795
0.230769230769231,0.205479452054795
0.230769230769231,0.219178082191781
0.230769230769231,0.232876712328767
0.240384615384615,0.232876712328767
0.240384615384615,0.246575342465753
0.240384615384615,0.26027397260274
0.25,0.26027397260274
0.259615384615385,0.26027397260274
0.259615384615385,0.273972602739726
0.259615384615385,0.287671232876712
0.269230769230769,0.287671232876712
0.278846153846154,0.287671232876712
0.278846153846154,0.301369863013699
0.288461538461538,0.301369863013699
0.288461538461538,0.315068493150685
0.288461538461538,0.328767123287671
0.298076923076923,0.328767123287671
0.307692307692308,0.328767123287671
0.307692307692308,0.342465753424658
0.317307692307692,0.342465753424658
0.326923076923077,0.342465753424658
0.336538461538462,0.342465753424658
0.346153846153846,0.342465753424658
0.346153846153846,0.356164383561644
0.346153846153846,0.36986301369863
0.355769230769231,0.36986301369863
0.355769230769231,0.383561643835616
0.365384615384615,0.383561643835616
0.365384615384615,0.397260273972603
0.375,0.397260273972603
0.384615384615385,0.397260273972603
0.384615384615385,0.410958904109589
0.384615384615385,0.424657534246575
0.384615384615385,0.438356164383562
0.394230769230769,0.438356164383562
0.403846153846154,0.438356164383562
0.403846153846154,0.452054794520548
0.403846153846154,0.465753424657534
0.403846153846154,0.479452054794521
0.413461538461538,0.479452054794521
0.413461538461538,0.493150684931507
0.413461538461538,0.506849315068493
0.423076923076923,0.506849315068493
0.432692307692308,0.506849315068493
0.442307692307692,0.506849315068493
0.442307692307692,0.520547945205479
0.442307692307692,0.534246575342466
0.442307692307692,0.547945205479452
0.451923076923077,0.547945205479452
0.461538461538462,0.547945205479452
0.471153846153846,0.547945205479452
0.480769230769231,0.547945205479452
0.490384615384615,0.547945205479452
0.5,0.547945205479452
0.509615384615385,0.547945205479452
0.519230769230769,0.547945205479452
0.528846153846154,0.547945205479452
0.538461538461538,0.547945205479452
0.548076923076923,0.547945205479452
0.557692307692308,0.547945205479452
0.567307692307692,0.547945205479452
0.576923076923077,0.547945205479452
0.576923076923077,0.561643835616438
0.586538461538462,0.561643835616438
0.586538461538462,0.575342465753425
0.586538461538462,0.589041095890411
0.596153846153846,0.589041095890411
0.605769230769231,0.589041095890411
0.615384615384615,0.589041095890411
0.615384615384615,0.602739726027397
0.615384615384615,0.616438356164384
0.615384615384615,0.63013698630137
0.625,0.63013698630137
0.634615384615385,0.63013698630137
0.644230769230769,0.63013698630137
0.653846153846154,0.63013698630137
0.653846153846154,0.643835616438356
0.653846153846154,0.657534246575342
0.663461538461538,0.657534246575342
0.663461538461538,0.671232876712329
0.663461538461538,0.684931506849315
0.663461538461538,0.698630136986301
0.663461538461538,0.712328767123288
0.673076923076923,0.712328767123288
0.682692307692308,0.712328767123288
0.692307692307692,0.712328767123288
0.692307692307692,0.726027397260274
0.692307692307692,0.73972602739726
0.692307692307692,0.753424657534247
0.701923076923077,0.753424657534247
0.711538461538462,0.753424657534247
0.721153846153846,0.753424657534247
0.730769230769231,0.753424657534247
0.730769230769231,0.767123287671233
0.740384615384615,0.767123287671233
0.740384615384615,0.780821917808219
0.75,0.780821917808219
0.759615384615385,0.780821917808219
0.759615384615385,0.794520547945205
0.769230769230769,0.794520547945205
0.769230769230769,0.808219178082192
0.778846153846154,0.808219178082192
0.788461538461538,0.808219178082192
0.788461538461538,0.821917808219178
0.798076923076923,0.821917808219178
0.798076923076923,0.835616438356164
0.807692307692308,0.835616438356164
0.817307692307692,0.835616438356164
0.817307692307692,0.849315068493151
0.826923076923077,0.849315068493151
0.836538461538462,0.849315068493151
0.836538461538462,0.863013698630137
0.836538461538462,0.876712328767123
0.836538461538462,0.89041095890411
0.846153846153846,0.89041095890411
0.855769230769231,0.89041095890411
0.855769230769231,0.904109589041096
0.865384615384615,0.904109589041096
0.875,0.904109589041096
0.884615384615385,0.904109589041096
0.884615384615385,0.917808219178082
0.894230769230769,0.917808219178082
0.903846153846154,0.917808219178082
0.913461538461538,0.917808219178082
0.923076923076923,0.917808219178082
0.932692307692308,0.917808219178082
0.932692307692308,0.931506849315068
0.932692307692308,0.945205479452055
0.932692307692308,0.958904109589041
0.932692307692308,0.972602739726027
0.932692307692308,0.986301369863014
0.942307692307692,0.986301369863014
0.951923076923077,0.986301369863014
0.961538461538462,0.986301369863014
0.971153846153846,0.986301369863014
0.971153846153846,1
0.980769230769231,1
0.990384615384615,1
1,1
