"time_ns","sasa_nm2"
0,89.326
0.01,92.257
0.02,92.246
0.03,90.096
0.04,88.676
0.05,92.061
0.06,91.086
0.07,94.326
0.08,91.577
0.09,94.948
0.1,93.326
0.11,92.614
0.12,92.785
0.13,94.418
0.14,92.226
0.15,92.215
0.16,92.16
0.17,92.398
0.18,91.822
0.19,93.313
0.2,91.772
