"time_ns","pot_kj"
0,-461178.9375
0.01,-462034.4375
0.02,-462967.84375
0.03,-460572.9375
0.04,-462066.96875
0.05,-461222.46875
0.06,-461851.28125
0.07,-461252.59375
0.08,-461920.8125
0.09,-462631.375
0.1,-461409.90625
0.11,-461860.9375
0.12,-461956.6875
0.13,-460796.65625
0.14,-461261.21875
0.15,-460962.25
0.16,-462766.84375
0.17,-460357.59375
0.18,-463086.90625
0.19,-461870.71875
0.2,-462431.84375
